RK	Team	League	G	GS	INN	TC	PO	A	E	DP	SB	CS	SBPCT	PB	C_WP	FPCT	DER
1	Miami Marlins	NL	162	1458	12984.0	5955	4328	1554	73	156	67	30	.691	12	57	.988	.693
2	Colorado Rockies	NL	162	1458	12939.0	6120	4313	1730	77	168	67	27	.713	18	69	.987	.685
3	Cleveland Indians	AL	162	1458	12966.0	5845	4322	1447	76	167	50	37	.575	9	48	.987	.684
4	Minnesota Twins	AL	162	1458	12924.0	5863	4308	1477	78	143	75	29	.721	16	52	.987	.693
5	Kansas City Royals	AL	162	1458	12939.0	5917	4313	1525	79	145	87	30	.744	11	48	.987	.685
6	Cincinnati Reds	NL	162	1458	12870.0	5994	4290	1623	81	132	79	42	.653	9	62	.986	.691
7	Los Angeles Angels	AL	162	1458	12966.0	5864	4322	1462	80	135	71	43	.623	10	57	.986	.701
8	Philadelphia Phillies	NL	162	1458	12969.0	5902	4323	1497	82	145	91	30	.752	17	50	.986	.687
9	San Francisco Giants	NL	162	1458	13068.0	5965	4356	1522	87	127	73	37	.664	6	55	.985	.680
10	Detroit Tigers	AL	162	1458	12783.0	5734	4261	1389	84	146	85	37	.697	14	53	.985	.669
11	Washington Nationals	NL	162	1458	13020.0	5860	4340	1434	86	139	94	29	.764	10	44	.985	.701
12	Toronto Blue Jays	AL	162	1458	13185.0	6057	4395	1570	92	145	119	26	.821	8	53	.985	.684
13	Los Angeles Dodgers	NL	162	1458	13002.0	5789	4334	1367	88	131	68	28	.708	19	40	.985	.704
14	St. Louis Cardinals	NL	162	1458	13053.0	6039	4351	1594	94	164	54	32	.628	7	38	.984	.688
15	Chicago Cubs	NL	162	1458	13026.0	6093	4342	1656	95	139	121	35	.776	13	73	.984	.700
16	Baltimore Orioles	AL	162	1458	12969.0	6026	4323	1609	94	175	77	34	.694	8	53	.984	.686
17	New York Mets	NL	162	1458	12912.0	5852	4304	1456	92	125	102	29	.779	7	55	.984	.667
18	New York Yankees	AL	162	1458	13038.0	5909	4346	1468	95	102	65	26	.714	21	83	.984	.704
19	Atlanta Braves	NL	162	1458	12972.0	5999	4324	1578	97	137	99	30	.767	20	58	.984	.685
20	Pittsburgh Pirates	NL	162	1458	12966.0	6083	4322	1662	99	156	95	28	.772	15	58	.984	.680
21	Houston Astros	AL	162	1458	13014.0	5963	4338	1526	99	153	102	14	.879	16	86	.983	.683
22	Tampa Bay Rays	AL	162	1458	13005.0	5868	4335	1433	100	129	83	22	.790	15	83	.983	.702
23	Seattle Mariners	AL	162	1458	12963.0	5846	4321	1422	103	147	80	26	.755	15	73	.982	.701
24	Arizona Diamondbacks	NL	162	1458	12969.0	6035	4323	1604	108	140	69	32	.683	12	82	.982	.688
25	Texas Rangers	AL	162	1458	12909.0	6027	4303	1616	108	173	87	28	.757	8	63	.982	.696
26	Boston Red Sox	AL	162	1458	13341.0	5944	4447	1390	107	126	61	39	.610	19	43	.982	.683
27	San Diego Padres	NL	162	1458	12876.0	6028	4292	1623	113	177	76	34	.691	8	73	.981	.686
28	Milwaukee Brewers	NL	162	1458	13011.0	6076	4337	1624	115	164	99	32	.756	11	50	.981	.686
29	Chicago White Sox	AL	162	1458	12795.0	5920	4265	1541	114	157	120	26	.822	11	67	.981	.701
30	Oakland Athletics	AL	162	1458	12879.0	6011	4293	1597	121	162	111	42	.725	16	84	.980	.687
