RK	Team	League	G	AB	R	H	2B	3B	HR	RBI	BB	SO	SB	CS	AVG	OBP	SLG	OPS
1	Houston Astros	AL	162	5611	896	1581	346	20	238	854	509	1087	98	42	.282	.346	.478	.823
2	Colorado Rockies	NL	162	5534	824	1510	293	38	192	793	519	1408	59	34	.273	.338	.444	.781
3	Miami Marlins	NL	162	5602	778	1497	271	31	194	743	486	1282	91	30	.267	.331	.431	.761
4	Washington Nationals	NL	162	5553	819	1477	311	31	215	796	542	1327	108	30	.266	.332	.449	.782
5	Cleveland Indians	AL	162	5511	818	1449	333	29	212	780	604	1153	88	23	.263	.339	.449	.788
6	Atlanta Braves	NL	162	5584	732	1467	289	26	165	706	474	1184	77	31	.263	.326	.412	.738
7	New York Yankees	AL	162	5594	858	1463	266	23	241	821	616	1386	90	22	.262	.339	.447	.785
8	Baltimore Orioles	AL	162	5650	743	1469	269	12	232	713	392	1412	32	13	.260	.312	.435	.747
9	Minnesota Twins	AL	162	5557	815	1444	286	31	206	781	593	1342	95	28	.260	.334	.434	.768
10	Kansas City Royals	AL	162	5536	702	1436	260	24	193	660	390	1166	91	31	.259	.311	.420	.731
11	Seattle Mariners	AL	162	5551	750	1436	281	17	200	714	487	1267	89	35	.259	.325	.424	.749
12	Detroit Tigers	AL	162	5556	735	1435	289	35	187	699	503	1313	65	34	.258	.324	.424	.748
13	Boston Red Sox	AL	162	5669	785	1461	302	19	168	735	571	1224	106	31	.258	.329	.407	.736
14	St. Louis Cardinals	NL	162	5470	761	1402	284	28	196	728	593	1348	81	31	.256	.334	.426	.760
15	Chicago White Sox	AL	162	5513	706	1412	256	37	186	670	401	1397	71	31	.256	.314	.417	.731
16	Chicago Cubs	NL	162	5496	822	1402	274	29	223	785	622	1401	62	31	.255	.338	.437	.775
17	Arizona Diamondbacks	NL	162	5525	812	1405	314	39	220	776	578	1456	103	30	.254	.329	.445	.774
18	Cincinnati Reds	NL	162	5484	753	1390	249	38	219	715	565	1329	120	39	.253	.329	.433	.761
19	New York Mets	NL	162	5510	735	1379	286	28	224	713	529	1291	58	23	.250	.320	.434	.755
20	Philadelphia Phillies	NL	162	5535	690	1382	287	36	174	654	494	1417	59	25	.250	.315	.409	.723
21	Milwaukee Brewers	NL	162	5467	732	1363	267	22	224	695	547	1571	128	41	.249	.322	.429	.751
22	Los Angeles Dodgers	NL	162	5408	770	1347	312	20	221	730	649	1380	77	28	.249	.334	.437	.771
23	San Francisco Giants	NL	162	5551	639	1382	290	28	128	612	467	1204	76	34	.249	.309	.380	.689
24	Oakland Athletics	AL	162	5464	739	1344	305	15	234	708	565	1491	57	22	.246	.319	.436	.755
25	Tampa Bay Rays	AL	162	5478	694	1340	226	32	228	671	545	1538	88	34	.245	.317	.422	.739
26	Texas Rangers	AL	162	5430	799	1326	255	21	237	756	544	1493	113	44	.244	.320	.430	.750
27	Pittsburgh Pirates	NL	162	5458	668	1331	249	36	151	635	519	1213	67	36	.244	.318	.386	.704
28	Los Angeles Angels	AL	162	5415	710	1314	251	14	186	678	523	1198	136	44	.243	.315	.397	.712
29	Toronto Blue Jays	AL	162	5499	693	1320	269	5	222	661	542	1327	53	24	.240	.312	.412	.724
30	San Diego Padres	NL	162	5356	604	1251	227	31	189	576	460	1499	89	33	.234	.299	.393	.692
