RK	Team	League	W	L	ERA	G	GS	SV	SVO	IP	H	R	ER	HR	BB	SO	AVG	WHIP
1	Cleveland Indians	AL	102	60	3.30	162	162	37	47	1440.2	1267	564	529	163	406	1614	.236	1.16
2	Los Angeles Dodgers	NL	104	58	3.38	162	162	51	68	1444.2	1226	580	543	184	442	1549	.228	1.15
3	Arizona Diamondbacks	NL	93	69	3.66	162	162	43	63	1441.0	1309	659	586	171	516	1482	.240	1.27
4	Boston Red Sox	AL	93	69	3.70	162	162	39	58	1482.1	1384	668	610	195	465	1580	.245	1.25
5	New York Yankees	AL	91	71	3.72	162	162	36	59	1448.2	1248	660	599	192	504	1560	.228	1.21
6	Washington Nationals	NL	97	65	3.88	162	162	46	64	1446.2	1300	672	623	189	495	1457	.239	1.24
7	Chicago Cubs	NL	92	70	3.95	162	162	38	57	1447.1	1294	695	636	194	554	1439	.238	1.28
8	Tampa Bay Rays	AL	80	82	3.97	162	162	53	75	1445.0	1324	704	638	193	503	1352	.242	1.26
9	Milwaukee Brewers	NL	86	76	4.00	162	162	54	79	1445.2	1381	697	642	185	553	1346	.252	1.34
10	St. Louis Cardinals	NL	83	79	4.01	162	162	43	60	1450.1	1393	705	646	183	493	1351	.253	1.30
11	Houston Astros	AL	101	61	4.12	162	162	45	67	1446.0	1314	700	662	192	522	1593	.240	1.27
12	Los Angeles Angels	AL	80	82	4.20	162	162	43	65	1440.2	1373	709	672	224	470	1312	.251	1.28
13	Pittsburgh Pirates	NL	75	87	4.22	162	162	36	57	1440.2	1464	731	676	182	511	1262	.264	1.37
14	Toronto Blue Jays	AL	76	86	4.42	162	162	45	72	1465.0	1460	784	720	203	549	1372	.258	1.37
15	Seattle Mariners	AL	78	84	4.46	162	162	39	65	1440.1	1399	772	713	237	490	1244	.254	1.31
16	San Francisco Giants	NL	64	98	4.50	162	162	32	55	1452.0	1515	776	726	182	496	1234	.268	1.38
17	Colorado Rockies	NL	87	75	4.51	162	162	47	62	1437.2	1453	757	721	190	532	1270	.264	1.38
18	Philadelphia Phillies	NL	66	96	4.55	162	162	33	57	1441.0	1471	782	729	221	527	1309	.265	1.39
19	Minnesota Twins	AL	85	77	4.59	162	162	42	61	1436.0	1487	788	732	224	483	1166	.266	1.37
20	Kansas City Royals	AL	80	82	4.61	162	162	39	60	1437.2	1480	791	737	196	519	1216	.265	1.39
21	Texas Rangers	AL	78	84	4.66	162	162	29	50	1434.1	1443	816	742	214	559	1107	.261	1.40
22	San Diego Padres	NL	71	91	4.67	162	162	45	62	1430.2	1417	816	742	226	554	1325	.259	1.38
23	Oakland Athletics	AL	75	87	4.67	162	162	35	60	1431.0	1444	826	743	210	502	1202	.261	1.36
24	Atlanta Braves	NL	72	90	4.72	162	162	36	59	1441.1	1463	821	756	192	584	1258	.263	1.42
25	Chicago White Sox	AL	67	95	4.78	162	162	25	40	1421.2	1384	820	755	242	632	1193	.254	1.42
26	Miami Marlins	NL	77	85	4.82	162	162	34	61	1442.2	1450	822	772	193	627	1202	.263	1.44
27	Baltimore Orioles	AL	75	87	4.97	162	162	35	53	1441.0	1505	841	795	242	579	1233	.269	1.45
28	New York Mets	NL	70	92	5.01	162	162	34	54	1434.2	1538	863	799	220	593	1374	.273	1.49
29	Cincinnati Reds	NL	68	94	5.17	162	162	33	48	1430.0	1442	869	821	248	631	1300	.263	1.45
30	Detroit Tigers	AL	64	98	5.36	162	162	32	55	1420.1	1587	894	846	218	538	1202	.282	1.50
