RK	Player	Team	Pos	G	AB	R	H	2B	3B	HR	RBI	BB	SO	SB	CS	AVG	OBP	SLG	OPS
1	 Arenado, N	COL	3B	159	606	100	187	43	7	37	130	62	106	3	2	.309	.373	.586	.959
1	 Blackmon, C	COL	CF	159	644	137	213	35	14	37	104	65	135	14	10	.331	.399	.601	1.000
3	 Reynolds, M	COL	1B	148	520	82	139	22	1	30	97	69	175	2	1	.267	.352	.487	.839
4	 Story, T	COL	SS	145	503	68	120	32	3	24	82	49	191	7	2	.239	.308	.457	.765
5	 Gonzalez, C	COL	RF	136	470	72	123	34	0	14	57	56	119	3	0	.262	.339	.423	.762
6	 Valaika, P	COL	SS	110	182	28	47	11	0	13	40	7	53	0	0	.258	.284	.533	.817
7	 Parra, G	COL	LF	115	392	56	121	24	1	10	71	20	67	2	5	.309	.341	.452	.793
8	 LeMahieu, D	COL	2B	155	609	95	189	28	4	8	64	59	90	6	5	.310	.374	.409	.783
9	 Desmond, I	COL	LF	95	339	47	93	11	1	7	40	24	87	15	4	.274	.326	.375	.701
10	 Amarista, A	COL	SS	96	168	22	40	10	0	3	19	7	38	1	0	.238	.269	.351	.620
11	 Hanigan, R	COL	C	33	101	9	27	2	0	2	12	8	26	0	0	.267	.324	.347	.671
11	 Lucroy, J	COL	C	46	142	18	44	6	3	2	13	27	19	0	0	.310	.429	.437	.865
11	 Tapia, R	COL	CF	70	160	27	46	12	2	2	16	8	36	5	2	.288	.329	.425	.754
14	 Freeland, K	COL	P	33	52	3	8	1	0	1	2	1	30	0	0	.154	.170	.231	.401
14	 Garneau, D	COL	C	22	68	5	14	7	0	1	6	4	24	0	0	.206	.260	.353	.613
14	 Gray, J	COL	P	19	38	3	3	0	0	1	3	1	27	0	0	.079	.103	.158	.260
17	 Adames, C	COL	SS	12	13	1	0	0	0	0	0	1	6	0	0	.000	.071	.000	.071
17	 Anderson, T	COL	P	17	26	1	1	0	0	0	0	1	17	0	0	.038	.074	.038	.113
17	 Bettis, C	COL	P	9	11	1	1	0	0	0	1	1	6	0	0	.091	.167	.091	.258
17	 Cardullo, S	COL	LF	15	28	2	4	0	0	0	3	3	7	0	0	.143	.250	.143	.393
17	 Carle, S	COL	P	3	0	0	0	0	0	0	0	0	0	0	0	.---	.---	.---	.000
17	 Chatwood, T	COL	P	33	39	5	6	1	0	0	2	1	9	0	0	.154	.175	.179	.354
17	 Diaz, J	COL	P	4	0	0	0	0	0	0	0	0	0	0	0	.---	.---	.---	.000
17	 Dunn, M	COL	P	63	0	0	0	0	0	0	0	0	0	0	0	.---	.---	.---	.000
17	 Estevez, C	COL	P	32	0	0	0	0	0	0	0	0	0	0	0	.---	.---	.---	.000
17	 Hoffman, J	COL	P	23	33	1	3	1	0	0	1	0	17	0	0	.091	.091	.121	.212
17	 Holland, G	COL	P	55	0	0	0	0	0	0	0	0	0	0	0	.---	.---	.---	.000
17	 Lyles, J	COL	P	32	5	0	1	0	0	0	0	0	3	0	0	.200	.200	.200	.400
17	 Marquez, G	COL	P	26	45	4	8	2	0	0	5	0	18	0	0	.178	.178	.222	.400
17	 McGee, J	COL	P	58	0	0	0	0	0	0	0	0	0	0	0	.---	.---	.---	.000
17	 McMahon, R	COL	1B	17	19	2	3	1	0	0	1	5	5	0	0	.158	.333	.211	.544
17	 Murphy, T	COL	C	12	24	1	1	1	0	0	1	2	9	0	0	.042	.115	.083	.199
17	 Neshek, P	COL	P	25	0	0	0	0	0	0	0	0	0	0	0	.---	.---	.---	.000
17	 Oberg, S	COL	P	65	0	0	0	0	0	0	0	0	0	0	0	.---	.---	.---	.000
17	 Ottavino, A	COL	P	59	0	0	0	0	0	0	0	0	0	0	0	.---	.---	.---	.000
17	 Qualls, C	COL	P	18	0	0	0	0	0	0	0	0	0	0	0	.---	.---	.---	.000
17	 Rosscup, Z	COL	P	9	0	0	0	0	0	0	0	0	0	0	0	.---	.---	.---	.000
17	 Rusin, C	COL	P	54	9	1	3	0	0	0	0	0	3	0	0	.333	.333	.333	.667
17	 Senzatela, A	COL	P	33	32	1	4	1	0	0	5	0	20	0	0	.125	.125	.156	.281
17	 Tauchman, M	COL	CF	31	27	2	6	0	1	0	2	5	10	1	2	.222	.344	.296	.640
17	 Wolters, T	COL	C	83	229	30	55	8	1	0	16	33	55	0	1	.240	.341	.284	.625
